Final_Name,Name_sul07,z,z_src,r_z_sul07,CIV_blue_tvm,CIV_EW_tvm,CIVgood_tvm,CIV_blue_sul07,CIV_EW_sul07,F1450_spec (erg/s/cm2/A),S2N_1450A,Inst_final,log M_BH,+err(log M_BH),-err(log M_BH),MBH_source,logEddRatio,EddRatio_Source,SDSS_NAME,PLATE,MJD,FIBERID,IAU_sul07,Hbeta_FWHM_sul07,RFeII_sul07,_RA,_DE
PG1011-040,,0.058314,NED,,266.508764230596,13.1636477340463,1,,,1.43875526278911E-14,46.1957756003282,HSLA,,,,,,,,,,,,,,153.586,-4.31124
LBQS1138+0204,LBQS 1138+0204,0.3821,Sul,SDSS,1024.71796989958,9.09749905988748,1,536.0,33.33333333333333,1.80145090336229E-15,12.7054784111887,FOS,,,,,,,114121.75+014803.5,514.0,51994.0,285.0,J11413+0148,4225,0.92,175.3406225,1.80095333333333
NGC5548,NGC 5548,0.0168,Sul,M03,473.481426026803,367.243602604853,1,-309.0,197.33333333333331,7.657833504206261E-15,6.72628939332294,FOS,7.6917847190622,0.015835865187952,0.016101305522175,Bentz & Katz 2015,-2.94518783340976,Spectra 1450A,,,,,J14179+2508,6143,0.33,214.497970833333,25.1367916666667
PG1126-041,,0.06,https://arxiv.org/pdf/1710.10703.pdf,,404.496992539456,41.6096040412885,1,,,1.37368994354013E-14,29.7519221414498,HSLA,8.1,0.0,0.0,Giustini & Proga 2019,-0.602059991327962,Giustini & Proga 2019,,,,,,,,172.32,-4.40208
J21435+1743,[HB89] 2141+175,0.2106,Sul,M03,-78.7812685546023,19.4385206340333,1,-309.0,17.4496644295302,4.35376715842931E-15,5.97389264710132,FOS,,,,,,,,,,,J21435+1743,5298,0.33,325.898125,17.7302211111111
Q0043+4234,,0.191,NED,,59.3812117613829,136.622522278766,0,,,8.85816161251634E-16,3.48708074087679,HSLA,,,,,,,,,,,,,,10.9791,42.5751
Q1659+6202,,0.232715,DR16,,266.508764230596,27.4665111530666,0,,,1.57429475489542E-15,5.54422220292399,HSLA,,,,,,,165958.93+620218.2,351.0,51780.0,476.0,,,,254.996,62.0384
PG0003+158,PG 0003+158,0.4504,Sul,M03,-9.68066706248958,54.2608974818628,1,-35.0,88.93280632411067,7.250530665130901E-15,16.9967226513061,FOS,,,,,,,,,,,J00059+1609,5519,0.14,1.49680666666667,16.1636072222222
QSO-B0923+201,,0.1922,DR16,,-217.001832872948,16.9349810900239,1,,,1.3089446904619E-14,14.1636326464741,HSLA,,,,,,,092554.71+195405.1,9561.0,57809.0,212.0,,,,141.478,19.9014
3C110,3C 110,0.7744,Sul,SPM,-493.636574850928,59.9695243512988,1,-983.0,80.1980198019802,3.1789863125701304E-15,23.919197052379,FOS,,,,,,,,,,,J04172-0553,9256,0.55,64.3199166666667,-5.896
