SDSS,FWHM-Hb,EW-Hb,EW-Fe2,RA,DEC,z_paul,good,CIV_blue,CIV_EW,FIRST_FLUX,Delta_G_I,EBV_dr16,LOGL1350_dr16,LOGL2500_dr16,Separation
b' J010615.93+101043.0',2936,73,2,16.566375,10.17861111111111,2.34955,true,1370.747781967049,29.741127379471575,-1.0,0.255,0.0381576798519297,46.46822612489997,46.33940026521901,0.07672564064120672
b' J141617.38+264906.1',4574,29,9,214.07241666666667,26.818361111111113,2.30336,true,5184.405057991782,10.88485314981984,2.94,0.82,0.013894797143785,46.42910680388622,46.63451581371669,0.05845566293706289
b' J011538.72+242446.0',3925,51,34,18.91133333333333,24.412777777777777,2.38956,true,1980.0431398094795,26.444624013476258,-1.0,0.014,0.043617829162679,46.82539771458922,46.61968859077877,0.09024093018204282
b' J093533.88+235720.5',6686,94,2,143.89116666666666,23.955694444444443,2.30319,true,342.2766457484174,43.004758074730006,-1.0,0.072,0.022258916679037,46.80352202903675,46.736122478257315,0.08550723579300513
b' J085443.10+075223.2',3925,60,2,133.67958333333334,7.873111111111111,,,,,,,,,,
b' J114350.30+362911.3',4090,48,13,175.95958333333334,36.486472222222226,2.35616,true,1548.4464484077423,21.15734798443527,-1.0,0.098,0.016089952320209,47.01394728228989,46.895565178271674,0.08722088820234952
b' J230722.21+253803.8',2720,50,2,346.84254166666665,25.63438888888889,1.59494,true,568.1645117650265,58.05579511372756,-1.0,0.158,0.1723303458645162,0.0,46.18155964212058,0.1275135861838355
b' J123514.64+462904.0',5243,114,2,188.811,46.48444444444444,2.20217,true,221.073413903446,52.19206113191004,-1.0,0.18,0.0173458092209469,46.63206773524284,46.6485291522132,0.07562106479409196
b' J092325.25+453222.2',3754,48,12,140.85520833333334,45.5395,3.45628,true,1411.5302029179772,36.32990783488912,-1.0,-0.227,0.0139251117521374,47.04987425216161,0.0,0.051180410787768464
b' J082507.67+360411.1',3401,72,5,126.28195833333334,36.069750000000006,1.5804,true,760.0665198844272,56.83496207903226,-1.0,0.214,0.0417722388910699,0.0,46.5992248024787,0.06525587361104453
b' J103236.98+230554.1',3267,45,13,158.15408333333335,23.09836111111111,2.38207,true,839.3664269156347,20.773789318048262,-1.0,0.281,0.0177392315088378,46.62875605061,46.66418987119133,0.10028547503136469
b' J234817.55+193345.8',5465,96,2,357.073125,19.562722222222224,2.19407,true,1228.462334472074,22.397744787192735,-1.0,0.835,0.0487542372750325,46.15432338326628,46.397115233532496,0.12814150684858633
b' J091328.22+394443.9',2449,37,2,138.36758333333333,39.74552777777778,,,,,,,,,,
b' J091716.79+461435.4',6747,19,46,139.31995833333335,46.24316666666667,,,,,,,,,,
b' J121423.01+024252.8',3838,41,2,183.595875,2.714666666666667,2.23149,true,2443.36845685784,20.190275464069686,43.82,0.197,0.0182788706760031,46.79555908326325,46.83644401633539,0.1568443292507466
b' J150743.71+220928.8',3764,95,58,226.932125,22.157999999999998,3.24701,true,1596.456847414802,43.434979330683205,-1.0,0.062,0.0406950371925705,46.78902541812547,0.0,0.12657181019660374
b' J142543.32+540619.3',4115,76,2,216.4305,54.105361111111115,3.26553,true,1480.6970095633428,16.660421347526558,-1.0,0.261,0.0082936948676771,46.92069598695426,0.0,0.06735390748108788
b' J001249.89+285552.6',4885,45,2,3.207875,28.93127777777778,3.24343,true,1500.0538224028408,26.42607988931851,-1.0,0.538,0.0325554464956457,46.77557122562619,0.0,0.10729695339771711
b' J094328.94+140415.6',5940,53,44,145.87058333333334,14.071,,,,,,,,,,
b' J163125.10+174810.0',5617,76,8,247.85458333333332,17.802777777777777,2.183702,false,1284.7674868929143,22.34380086297424,-1.0,0.602,0.0517632639874605,46.682875803636726,47.00551900193621,0.1057849913005916
b' J094347.02+690818.4',6047,63,2,145.94591666666668,69.13844444444445,,,,,,,,,,
b' J081056.96+120914.8',3504,53,2,122.73733333333334,12.154111111111112,2.26688,true,1126.318264866639,33.58638190076745,-1.0,0.226,0.0324571178014796,46.83906786760045,46.74087068382576,0.1265835501452058
b' J095327.95+322551.6',4105,95,20,148.36645833333333,32.431,,,,,,,,,,
b' J133342.56+123352.7',3815,44,2,203.42733333333334,12.56463888888889,3.28284,true,1932.8609874136098,19.42109345728266,-1.0,0.285,0.0236030098566012,47.04994935627104,0.0,0.12045910437372852
b' J080413.66+251633.9',3274,58,2,121.05691666666667,25.276083333333332,2.30367,true,1095.8335744183119,18.944415634681558,3.46,0.374,0.0276115469075743,46.69090833799016,46.76945808214396,0.05568893100605325
b' J082736.89+061812.1',3394,32,9,126.90370833333333,6.303361111111111,2.19686,true,413.26783861881097,23.188802326184227,-1.0,0.365,0.0238548403471227,46.794595296748994,46.69905066442976,0.084761539738615
b' J112127.79+254758.9',4700,77,4,170.36579166666667,25.799694444444444,1.585847,true,566.6866301445917,64.42572500146292,-1.0,0.212,0.0156105928057538,0.0,46.35689228693311,0.13942593579514603
b' J100212.63+520800.2',3608,103,2,150.552625,52.13338888888889,,,,,,,,,,
b' J100610.55+370513.8',5322,74,2,151.54395833333334,37.08716666666667,3.20196,true,1442.2883109072723,42.7509208441293,-1.0,-0.15,0.0123245007122022,46.97303604967359,0.0,0.06837509122358554
b' J094602.31+274407.0',3777,17,33,146.509625,27.735277777777778,2.44488,false,6651.788362943096,4.518650213253553,3.54,0.493,0.0212310499258469,47.08273704573848,46.92429211472346,0.10950378327136051
b' J100850.06-023831.6',3013,44,14,152.20858333333334,-2.6421111111111113,,,,,,,,,,
b' J101425.11+032003.7',6750,69,50,153.604625,3.3343611111111113,2.1606,true,2150.3724664066367,17.167702801981534,-1.0,0.264,0.0253350400258957,46.80287031184655,46.635309104121255,0.05433576575286293
b' J101211.44+330926.4',3706,58,2,153.04766666666666,33.157333333333334,,,,,,,,,,
b' J103718.23+302509.1',4577,58,2,159.32595833333335,30.419194444444447,2.28808,true,1054.158961534772,45.30529616386836,-1.0,0.617,0.0139433341543207,46.030450165768144,46.26597474996078,0.10831060814145779
b' J101353.43+244916.4',4137,75,15,153.472625,24.82122222222222,,,,,,,,,,
b' J105902.04+580848.6',2802,61,2,164.7585,58.14683333333333,2.24639,true,1181.2055655128352,34.90430108632097,-1.0,0.205,0.0072653960550809,46.64946022489987,46.73083507518961,0.08382528577041169
b' J081940.58+082357.9',7601,54,2,124.91908333333333,8.399416666666665,3.20714,true,695.7264214671162,39.84848863510997,-1.0,0.416,0.0224293427472219,46.68408991518306,0.0,0.08881975999472498
b' J102731.49+541809.7',8081,48,2,156.88120833333332,54.30269444444444,,,,,,,,,,
b' J010328.72-110414.4',3863,39,2,15.869666666666667,-11.070666666666666,2.19677,true,1870.2383033889766,15.666352164055592,49.77,0.269,0.0229749825190798,46.699051419597296,46.49999576424906,0.07680902880223
b' J103209.78+385630.6',4141,46,2,158.04075,38.94183333333333,,,,,,,,,,
b' J104621.57+483322.6',4222,39,2,161.589875,48.55627777777777,,,,,,,,,,
b' J104911.34+495113.6',2709,84,2,162.29725,49.85377777777778,,,,,,,,,,
b' J111920.98+232539.4',3805,44,2,169.83741666666666,23.427611111111112,2.273393,true,523.2197969496442,60.40251476254341,2.07,0.497,0.0145438950178294,46.33514975982592,46.44504963587347,0.06594327568520206
b' J140058.79+260619.4',3014,54,27,210.24495833333333,26.10538888888889,2.354629,true,1802.2375142123274,35.92648392277164,-1.0,0.259,0.0136700763381444,46.66905657391724,46.77392082246523,0.07503256813565422
b' J113740.61+630256.9',6886,45,9,174.41920833333333,63.04913888888888,2.321945,true,1432.2048324153,50.82175043303435,-1.0,0.5,0.020413248277207,46.632530575547534,46.598149416904796,0.05227726030546359
b' J110148.85+054815.5',7944,48,17,165.45354166666667,5.804305555555556,,,,,,,,,,
b' J092555.05+490338.2',5988,78,2,141.479375,49.06061111111111,2.33914,true,986.9142300085017,33.383154298334915,-1.0,0.231,0.0102172704330009,46.48611921628444,46.40191727424817,0.0774337068525049
b' J110810.87+014140.7',4627,30,2,167.04529166666666,1.6946388888888888,,,,,,,,,,
b' J111352.53+104041.9',4664,25,7,168.468875,10.678305555555555,,,,,,,,,,
b' J095746.75+565800.7',2794,33,34,149.44479166666667,56.966861111111115,1.575424,true,2547.740499415527,44.27948022063642,-1.0,-0.03,0.006275445522815,0.0,46.51477654446722,0.05991325134544968
b' J162659.24+301535.0',5308,62,2,246.74683333333334,30.259722222222223,1.57942,true,675.1710931215638,46.61629700456567,5.34,0.146,0.0225682304558006,0.0,46.27280113696205,0.07544225059956948
b' J073900.90+485159.0',5469,90,2,114.75375,48.86638888888889,1.61993,true,899.8901556963773,37.59680336760232,-1.0,0.083,0.0678142077788265,0.0,46.28018144915092,0.06911365917163187
b' J103246.19+323618.0',4995,58,33,158.19245833333332,32.605000000000004,2.38216,false,4142.413240722429,13.736442389441024,-1.0,1.026,0.0143760594471158,46.08267231950128,46.46356837439917,0.12599645865501605
b' J090709.89+250620.8',3498,88,6,136.79120833333334,25.105777777777778,3.30999,true,1293.1290034268163,23.75244664914711,-1.0,0.137,0.0323661883864649,46.71595171076803,0.0,0.053884698261990646
b' J114705.24+083900.6',4778,52,4,176.77183333333332,8.650166666666667,,,,,,,,,,
b' J150205.58-024038.5',5357,63,25,225.52325,-2.677361111111111,2.20384,true,2401.86208783159,30.80721426486896,-1.0,0.312,0.0945442151931588,46.647561028335154,46.58630739424999,0.04413870741997487
b' J160637.57+173516.2',3337,65,59,241.65654166666667,17.587833333333332,2.32687,true,1633.3386640048107,22.958229620964172,-1.0,0.226,0.037239904975314,46.56751921258586,46.50041388662292,0.12341541439731604
b' J161435.70+372715.6',4451,47,14,243.64875,37.45433333333334,1.6014,true,423.46821130273,36.98918211957635,-1.0,0.245,0.0101529451211739,0.0,46.51757711517515,0.048408717568115905
b' J222621.45+251545.0',7320,42,16,336.589375,25.2625,2.39044,true,1161.0150916572547,28.31715487473,-1.0,0.114,0.0520761424802292,47.37465434992345,47.36309306182399,0.09393919082613648
b' J205900.36-064309.5',4102,23,2,314.7515,-6.719305555555556,2.30946,true,4750.289163087066,11.255832258181279,-1.0,0.366,0.0511960762605932,46.72023937976409,46.593815578324325,0.06962718196938551
b' J080117.79+521034.5',5361,75,48,120.324125,52.176249999999996,3.24232,true,2515.3706869821094,17.85459373000566,-1.0,0.11,0.0405624426545862,47.30902198691648,0.0,0.07552547051397997
b' J121404.11+330945.6',3619,74,11,183.517125,33.16266666666667,,,,,,,,,,
b' J090444.33+233354.0',5234,45,11,136.18470833333333,23.565,2.25562,true,641.7967917258812,44.883953967265555,105.349998,0.304,0.0238485723139577,46.886305596544986,46.93128546913985,0.13159655550816893
b' J081114.66+172057.4',6054,58,2,122.81108333333333,17.349277777777775,2.324289,true,1109.2280636746,24.220313255780816,-1.0,0.375,0.0380574552869101,46.78192283620157,46.696658705306426,0.04800278041551206
b' J114212.25+233250.5',3518,53,38,175.55104166666666,23.547361111111112,1.60201,false,1902.6722782556137,63.22704606125565,-1.0,-0.131,0.0206917774404879,0.0,46.775516132271,0.040494585152860474
b' J121519.42+424851.0',3285,72,2,183.83091666666667,42.814166666666665,,,,,,,,,,
b' J101429.57+481938.4',2897,45,43,153.62320833333334,48.327333333333335,1.57012,true,2635.9076749155583,31.61650373955191,-1.0,-0.203,0.0065960993289413,0.0,46.448203924434935,0.004993451299441347
b' J113048.45+225206.6',5358,34,2,172.701875,22.8685,2.379216,false,1614.4756073672704,38.182893624741325,1.96,0.45,0.0148320188823386,46.20735281070454,46.1756170850916,0.08882395018446224
b' J010643.23-031536.4',6491,61,40,16.680125,-3.260111111111111,2.24856,true,2685.040388811229,11.396508410371279,-1.0,0.584,0.0209103337665334,46.676856243519154,46.852562444661906,0.10149950285639317
b' J085946.79+603702.1',3293,46,31,134.94495833333335,60.61725,2.28013,true,2139.402034212946,31.23219511091995,-1.0,0.214,0.0546561852624216,46.68185123890453,46.54588127215951,0.09727770682433716
b' J084133.15+200525.7',5738,26,27,130.388125,20.09047222222222,2.342,false,5482.636024829811,8.328394261136122,-1.0,1.796,0.0287881246319513,45.67778415617661,47.30194125020301,0.07462173112803465
b' J081410.76+443706.9',3305,84,2,123.54483333333333,44.61858333333333,2.27765,true,1418.139019491507,35.22019338045578,-1.0,0.15,0.0470888333985816,46.54073300039576,46.49224544358982,0.04674224947062288
b' J072928.48+252451.8',7074,43,2,112.36866666666667,25.414388888888887,2.30864,true,999.0905483140893,22.538704605202007,6.83,0.279,0.0475605076467096,46.76019863994201,46.743757822833224,0.09891522306793865
b' J142502.62+274912.2',4436,47,2,216.26091666666667,27.820055555555555,,,,,,,,,,
b' J165321.03+271706.7',3004,57,45,253.337625,27.285194444444446,1.60744,false,3546.0372369191296,33.62989601157709,-1.0,-0.074,0.0625377206459882,0.0,46.78847318436469,0.07071941048930216
b' J073913.65+461858.5',4688,71,2,114.806875,46.31625,1.58943,false,2205.6508841085033,26.2486916708379,-1.0,0.019,0.0756134643936083,0.0,46.55638824410264,0.09398492955017373
b' J095058.76+263424.6',3800,46,28,147.74483333333333,26.5735,2.39716,true,2427.880198859398,24.7214705414461,-1.0,0.075,0.0187510470527438,46.727201253570506,46.49642292855982,0.13610276417528408
b' J005233.67+014040.8',7278,57,2,13.140291666666666,1.678,2.30482,true,1550.8338565551428,34.25129040356807,-1.0,0.168,0.0223750544442804,46.87928827363301,46.633724230399466,0.08303530948398474
b' J144948.62+123047.5',6505,58,2,222.45258333333334,12.513194444444444,,,,,,,,,,
b' J151341.89+463002.8',3884,45,19,228.42454166666667,46.50077777777778,,,,,,,,,,
b' J090710.36+430000.2',4550,69,2,136.79316666666668,43.000055555555555,2.19307,true,1412.6525021317532,26.00627441127972,-1.0,-0.021,0.0136724281686436,47.04477668551888,46.98437179092547,0.052822232285644484
b' J152929.55+230208.7',3536,68,2,232.373125,23.03575,,,,,,,,,,
